"시도별(1)",2016,2016,2016,2018,2018,2018,2020,2020,2020,2022,2022,2022
"시도별(1)",초등학교,중학교,고등학교,초등학교,중학교,고등학교,초등학교,중학교,고등학교,초등학교,중학교,고등학교
"서울특별시",599,384,318,601,383,320,607,386,320,603,388,320
"부산광역시",306,172,145,308,174,143,304,172,142,304,171,142
"대구광역시",221,124,92,228,125,92,229,125,92,232,125,95
"인천광역시",243,134,123,259,135,124,261,135,124,270,139,126
"광주광역시",153,89,67,155,90,66,156,90,66,154,91,68
"대전광역시",146,88,62,149,88,62,150,88,62,150,88,62
"울산광역시",119,62,56,120,63,57,122,63,57,122,64,58
"세종특별자치시",35,17,13,43,22,16,49,24,18,51,26,21
"경기도",1213,613,460,1262,625,468,1310,635,471,1338,647,485
"강원특별자치도",351,162,117,383,164,114,378,162,113,374,163,116
"충청북도",260,128,83,271,127,83,268,126,83,268,128,84
"충청남도",405,186,116,419,189,115,420,188,115,422,186,117
"전라북도",415,209,133,422,209,130,424,209,129,422,210,133
"전라남도",426,250,145,476,257,140,480,256,139,458,255,144
"경상북도",476,275,193,508,274,187,508,269,183,507,267,185
"경상남도",498,266,191,520,269,188,519,266,186,524,267,190
"제주특별자치도",112,45,30,119,45,30,120,45,30,118,45,30
